Glacier	Holtedahlfonna		Weather Conditions	almost no wind, clear sky, sampling for C2S3 project										
Area	Equilibrium, Stake 6		Coordinates/GPS	North		79.029845								
Date	17.04.16			East		13.530769								
Time	afternoon			Altitude (m a.s.l.)										
Observer(s)	TM, JCG, AS, EB													
General comments	175 cm pit, 154 cm snow and 21 cm of hard stuff (melt refrozen)													
	Sampling for Iso, Ions, Bio and BC													
														
Temperatures:														
Air temp 1m [°C]		-14.2												
Air/snow temp [°C]														
Snow/ice temp [°C]		-7.3												
Comments		stratigraphy by JCG and AS												
														
Layer, from top to bottom	Top [cm]	Bottom [cm]	Type 1	Type 2	Diameter min [mm]	Diameter max [mm]	Hardness	Hardness code		Depth Center [cm]	Snow Density [g/cm³]		Depth [cm]	Temp [deg C]
1	0	4	wind packed		0.1	0.1	1f	3		2	349		5	15.1
2	4	7	faceted		0.3	0.3	Fist	1		5	253		7	15.5
3	7	9	rounded and faceted		0.1	0.3	1f	3		9	265		9	15.5
4	9	11	faceted		0.4	0.4	4 f	2		18	330		11	15.4
5	11	27	rounded and faceted		0.1	0.2	pencil	4		30	257		20	14.9
6	27	32	faceted		0.5	0.5	4 f	2		36	365		27	14.3
7	32	39	faceted		0.2	0.2	1f	3		43	403		32	13.5
8	39	48	faceted		0.4	0.4	pencil	4		50	300		39	12.9
9	48	64	faceted		0.4	0.4	1f	3		65	392		48	12.2
10	64	66	faceted		1	1	4 f	2		72	413		64	11.2
11	66	81	faceted		0.5	0.5	1f	3		86	475		81	10.3
12	81	91	rounded and faceted		0.2	0.3	pencil	4		100	328		91	9.8
13	91	92	rounded		0.3	0.3	1f	3		112	328		107	9.6
14	92	107	wind packed		0.1	0.1	knife	5		117	355		114	8.8
15	107	109	depth hoar		1	1	1f	3		126	299		133	8.3
16	109	114	rounded and faceted		0.1	0.3	pencil	4		134	321		146	8.2
17	114	120	depth hoar		1	1	1f	3		140	289		160	7.6
18	120	133	depth hoar		2	2	4 f	2		152	303		175	7.3
19	133	135	faceted		2	2	1f	3		165	415			
20	135	146	depth hoar		2	2	4 f	2						
21	149	149	horizontal ice layer				ice	6						
22	149	154	depth hoar		2	2	4 f	2						
23	154	175	melt refreeze											
