number,height_top,height_bot,dD,d18O,dxs,ice_type
0,94,93.0,-57.55,-8.16,7.73,S
1,93,89.8,-61.56,-8.76,8.54,S
2,89.8,86.6,-75.45,-10.64,9.68,S
3,86.6,83.4,-92.13,-12.68,9.33,S
4,83.4,80.2,-105.41,-14.31,9.1,I
5,80.2,77.0,-119.71,-15.98,8.14,S
6,77.0,73.8,-105.49,-14.32,9.08,S
7,73.8,70.6,-114.33,-15.76,11.72,M
8,70.6,67.3,-117.97,-16.52,14.18,S
9,67.3,64.1,-105.24,-15.05,15.13,M
10,64.1,60.9,-99.56,-14.27,14.63,S
11,60.9,57.7,-98.37,-13.99,13.56,M
12,57.7,54.5,-94.56,-13.24,11.34,I
13,54.5,51.3,-104.47,-14.16,8.81,S
14,51.3,48.1,-100.79,-13.56,7.68,S
15,48.1,44.9,-77.94,-11.34,12.82,S
16,44.9,41.7,-71.44,-10.4,11.75,M
17,41.7,38.5,-86.7,-11.48,5.13,S
18,38.5,35.3,-106.28,-13.97,5.49,S
19,35.3,32.1,-106.41,-14.32,8.19,I
20,32.1,28.9,-139.39,-18.43,8.05,S
21,28.9,25.7,-151.45,-18.46,-3.78,S
22,25.7,22.4,-158.22,-20.89,8.86,M
23,22.4,19.2,-148.35,-19.67,9.03,S
24,19.2,16.0,-135.17,-18.24,10.75,M
25,16.0,12.8,-124.67,-16.44,6.85,S
26,12.8,9.6,-117.19,-14.85,1.57,S
27,9.6,6.4,-104.31,-14.01,7.81,M
28,6.4,3.2,-95.7,-12.57,4.87,M
29,3.2,0.0,-108.4,-14.62,8.54,S
